number,name,type,radioactive,x_alpha,x_alpha_1990,x_ar,x_ar_1958,x_ar_we,x_p,x_s,x_s_1989,x_s_we,x_sa,x_mj,x_mj_s,x_mj_sp,x_mj_sp2,x_mj_sp3,x_p_kd,x_mj_kd,x_sa_kd,x_ar_kd,ce_ev_kd,x_ce_kd,x_s_kd,x_a_kd,x_be_kd,x_gg_ev_kd,x_alpha_kd,x_pa_ev_kd,x_sm_kd,ch_ev_kd
69,Tm,5,F,1.12,1.12,NA,NA,1.11,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,1.11,NA,NA,NA,1.25,NA,NA,1.12,NA,NA,NA
70,Yb,5,F,1.13,1.13,NA,NA,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06,NA,NA,NA,NA,NA,NA,1.13,NA,1.25,NA
71,Lu,4,F,1.12,1.12,NA,NA,1.14,1.27,1.09,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,1.14,6.455,1.09,NA,1.27,NA,NA,1.12,NA,NA,NA
72,Hf,4,F,1.2,1.2,1.23,NA,1.23,1.3,1.16,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,1.23,6.83,1.16,NA,NA,NA,NA,1.2,3.8,1.5,3
73,Ta,4,F,1.26,1.26,1.33,NA,1.33,1.5,1.34,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,1.33,7.93,1.34,NA,NA,NA,NA,1.26,4.11,1.8,3.79
74,W,4,F,1.31,1.31,1.4,NA,1.4,2.36,1.47,NA,NA,0.98,NA,NA,NA,NA,NA,2.36,NA,1.67,1.4,8.67,1.47,NA,2.36,NA,NA,1.31,4.4,2.05,3.58
75,Re,4,F,1.35,1.35,1.46,NA,1.46,1.9,1.6,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,1.46,9.46,1.6,NA,NA,NA,NA,1.35,4.02,NA,3.87
76,Os,4,F,1.39,1.39,1.52,NA,1.52,2.2,1.65,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,1.52,9.78,1.65,NA,NA,NA,NA,1.39,4.9,NA,3.8
77,Ir,4,F,1.43,1.43,1.55,NA,1.55,2.2,1.68,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,1.55,9.96,1.68,NA,2.2,NA,NA,1.43,5.4,NA,3.8
78,Pt,4,F,1.49,1.49,1.44,NA,1.44,2.28,1.72,NA,NA,NA,NA,NA,NA,NA,NA,2.28,NA,NA,1.44,10.16,1.72,NA,2.28,NA,NA,1.49,5.6,2.35,3.5
79,Au,4,F,1.53,1.53,1.42,NA,1.42,2.54,1.92,NA,NA,NA,1.87,1.87,NA,NA,NA,2.54,1.87,NA,1.42,11.33,1.92,NA,2.54,NA,NA,1.53,5.77,2.5,3.46
80,Hg,4,F,1.54,1.54,1.44,NA,1.44,2,1.76,NA,NA,2.2,1.81,NA,1.81,NA,NA,2,1.81,2.195,1.44,10.44,1.76,NA,2,NA,NA,1.54,4.91,1.95,5.54
81,Tl,3,F,1.59,1.59,1.44,NA,1.44,1.62,1.789,NA,NA,2.25,1.96,NA,NA,1.96,NA,2.04,1.96,2.246,1.44,10.58,1.789,NA,2.04,NA,NA,1.59,3.2,2.1,2.9
82,Pb,3,F,1.76,1.76,1.55,NA,1.55,2.33,1.854,NA,NA,2.29,2.41,NA,NA,NA,2.41,2.33,2.41,2.291,1.55,10.97,1.854,NA,2.33,NA,NA,1.76,3.9,2.15,3.53
83,Bi,3,F,1.83,1.83,1.67,NA,1.67,2.02,2.01,NA,NA,2.34,2.15,2.15,NA,NA,NA,2.02,2.15,2.342,1.67,11.9,2.01,NA,2.02,NA,NA,1.83,4.69,1.95,3.74
84,Po,3,T,1.96,1.96,1.76,NA,1.76,2,2.19,NA,NA,NA,2.48,2.48,NA,NA,NA,2,2.48,NA,1.76,13,2.19,NA,NA,NA,NA,1.96,NA,NA,NA
85,At,1,T,2.12,2.12,1.9,NA,1.9,2.2,2.39,NA,NA,NA,2.85,2.85,NA,NA,NA,2.2,2.85,NA,1.9,14.1,2.39,NA,NA,NA,NA,2.12,NA,NA,NA
86,Rn,2,T,2.27,2.27,NA,NA,NA,NA,2.6,NA,NA,NA,2.59,2.59,NA,NA,NA,NA,2.12,NA,2.06,15.4,2.6,NA,NA,NA,NA,2.27,NA,NA,NA
87,Fr,3,T,0.82,0.82,0.86,NA,0.86,0.7,NA,NA,NA,NA,0.68,0.68,NA,NA,NA,0.7,0.68,NA,0.86,NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA
88,Ra,3,T,0.93,0.99,0.97,NA,0.97,0.9,NA,NA,NA,NA,0.92,NA,0.92,NA,NA,0.9,0.92,NA,0.97,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA
89,Ac,6,T,1.03,1.03,NA,NA,1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,1,NA,NA,NA,NA,NA,NA,1.03,NA,NA,NA
90,Th,6,T,1.03,1.03,NA,NA,1.11,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,1.11,NA,NA,NA,NA,NA,NA,1.03,NA,1.35,NA
91,Pa,6,T,1.08,1.08,NA,NA,1.14,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,1.14,NA,NA,NA,NA,NA,NA,1.08,NA,1.6,NA
92,U,6,T,1.06,1.06,NA,NA,1.22,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,NA,NA,1.22,NA,NA,NA,1.38,NA,NA,1.06,NA,1.75,NA
93,Np,6,T,1.09,1.09,NA,NA,1.22,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36,NA,NA,1.22,NA,NA,NA,1.36,NA,NA,1.09,NA,NA,NA
94,Pu,6,T,1.09,1.09,NA,NA,1.22,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,NA,NA,1.22,NA,NA,NA,1.28,NA,NA,1.09,NA,NA,NA
95,Am,6,T,1.1,1.1,NA,NA,1.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,1.2,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA
96,Cm,6,T,NA,1.11,NA,NA,1.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,1.2,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
97,Bk,6,T,NA,1.11,NA,NA,1.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,1.2,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA
98,Cf,6,T,NA,1.13,NA,NA,1.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,1.2,NA,NA,NA,NA,NA,NA,1.13,NA,NA,NA
99,Es,6,T,NA,1.14,NA,NA,1.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,1.2,NA,NA,NA,NA,NA,NA,1.14,NA,NA,NA
100,Fm,6,T,NA,1.1,NA,NA,1.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,1.2,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA
101,Md,6,T,NA,1.17,NA,NA,1.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,1.2,NA,NA,NA,NA,NA,NA,1.17,NA,NA,NA
102,No,6,T,NA,1.18,NA,NA,1.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,1.2,NA,NA,NA,NA,NA,NA,1.18,NA,NA,NA
103,Lr,4,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
